iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
TUR,Asia,Turkey,23/01,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,0,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,24/01,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,2.78,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,25/01,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,2.78,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,26/01,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,2.78,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,27/01,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,2.78,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,28/01,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,2.78,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,29/01,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,2.78,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,30/01,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,2.78,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,31/01,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,2.78,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,01/02,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,2.78,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,02/02,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,2.78,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,03/02,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,2.78,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,04/02,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,2.78,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,05/02,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,8.33,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,06/02,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,8.33,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,07/02,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,19.44,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,08/02,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,19.44,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,09/02,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,19.44,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,10/02,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,19.44,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
TUR,Asia,Turkey,11/02,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,19.44,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.791
